,Time,video_time_First Stimulation,data_ca_df_f_First Stimulation
699,,,0.6489036879093538
700,,,0.5843256491304557
701,,,0.5827701640608488
702,,,0.5293346541154281
703,,,0.4961437199820087
704,,,0.4920974107155444
705,,,0.5406343485903216
706,,,0.4350993124522536
707,,,0.4390997689753829
708,,,0.34854882881228855
709,,,0.3574873904314186
710,,,0.34598203519925014
711,,,0.36390779201988005
712,,,0.3405661491640755
713,,,0.3346847114641485
714,,,0.33770709358453377
715,,,0.2721502400308811
716,,,0.2851557234418343
717,,,0.3079740157153593
718,,,0.2305114023184229
719,,,0.19922975375787053
720,,,0.2153508293363619
721,,,0.18743478187370233
722,,,0.20133517544924645
723,,,0.21660332472210753
724,,,0.21457474323844597
725,,,0.1364935661694082
726,,,0.21993434772652876
727,,,0.19304027502647142
728,,,0.1290900121561209
729,,,0.08947888507932218
730,,,0.1397515909765007
731,,,0.10562301272012802
732,,,0.0773304482396678
733,,,0.08682789791317368
734,,,0.11859748179271284
735,,,0.1365050922005653
736,,,0.06632693049495851
737,,,0.1476776584022463
738,,,0.13763464325396765
739,,,0.017571818700140306
740,,,0.09596804062080752
741,,,0.10821252772010509
742,,,0.08422685688203949
743,,,0.07396484714177479
744,,,0.04361680710495295
745,,,0.08988998019059459
746,,,0.06125931879619072
747,,,0.1807996299375597
748,,,0.15836613129532617
749,,,0.21813628686601078
750,,,0.1622427197745202
751,,,0.09871892005698485
752,,,0.07049935377385316
753,,,0.06905091585843576
754,,,0.12620850436682904
755,,,0.08164886791321974
756,,,0.1130649868372725
757,,,0.10913845222306416
758,,,0.056794902727981066
759,,,0.04992538815830924
760,,,0.11953109031644339
761,,,0.06788294470117621
762,,,0.12752247191874608
